"ID","PALABRA EN PUINAVE","PRONUNCIACION EN PUINAVE","AUDIO EN PUINAVE","PALABRA EN ESPAÑOL"
"000001","AMDA","(´amda)","PU-000001_pu.mp3","Huérfana"
"000002","AMJURE","(´amjure)","PU-000002_pu.mp3","Abejar, enjambre"
"000003","AMPOG","(ampoc)","PU-000003_pu.mp3","Miel de abeja"
"000004","ANA","(ána)","PU-000004_pu.mp3","Abuela"
"000005","ANDAM","(andam)","PU-000005_pu.mp3","Casabe recien hecho"
"000006","ANSIJUM","(ansijú)","PU-000006_pu.mp3","Casabe mojoso"
"000007","ASI","(asi)","PU-000007_pu.mp3","Voy a"
"000008","ASINUG","(asinúc)","PU-000008_pu.mp3","Voy a ir"
"000009","ASIBOG","(asibog)","PU-000009_pu.mp3","Voy a caminar"
"000010","ASIQUIG","(asiquig)","PU-000010_pu.mp3","Voy a llorar"
"000011","ASURINA","(asurína)","PU-000011_pu.mp3","Gasolina"
"000012","AT","(át)","PU-000012_pu.mp3","Me"
"000013","ATCUI","(atcuí)","PU-000013_pu.mp3","Me mandan"
"000014","AUÑUN","(auñún)","PU-000014_pu.mp3","Avión"
"000015","AYAYA","(allallá)","PU-000015_pu.mp3","Pato colorado"
"000016","AU","(´au)","PU-000016_pu.mp3","Bachaco"
"000017","AU","(áu)","PU-000017_pu.mp3","Cantar"
"000018","ÃG","(ãc)","PU-000018_pu.mp3","Verde"
"000019","IÃG","(i ãc)","PU-000019_pu.mp3","Color verde"
"000020","ÃCARIG","(ãkaríc)","PU-000020_pu.mp3","Morado para persona, animal o cosa"
